　,9,9,1287,記号,空白,*,*,*,*,　,　,　
、,10,10,-2435,記号,読点,*,*,*,*,、,、,、
。,8,8,215,記号,句点,*,*,*,*,。,。,。
，,10,10,678,記号,読点,*,*,*,*,，,，,，
．,8,8,-202,記号,句点,*,*,*,*,．,．,．
・,5,5,-807,記号,一般,*,*,*,*,・,・,・
：,5,5,1851,記号,一般,*,*,*,*,：,：,：
；,5,5,1819,記号,一般,*,*,*,*,；,；,；
？,5,5,1977,記号,一般,*,*,*,*,？,？,？
！,5,5,1817,記号,一般,*,*,*,*,！,！,！
゛,5,5,4977,記号,一般,*,*,*,*,゛,゛,゛
゜,5,5,4977,記号,一般,*,*,*,*,゜,゜,゜
´,5,5,1819,記号,一般,*,*,*,*,´,´,´
｀,5,5,1819,記号,一般,*,*,*,*,｀,｀,｀
¨,5,5,1819,記号,一般,*,*,*,*,¨,¨,¨
＾,5,5,1819,記号,一般,*,*,*,*,＾,＾,＾
￣,5,5,1819,記号,一般,*,*,*,*,￣,￣,￣
＿,5,5,1819,記号,一般,*,*,*,*,＿,＿,＿
ヽ,5,5,2113,記号,一般,*,*,*,*,ヽ,ヽ,ヽ
ヾ,5,5,2113,記号,一般,*,*,*,*,ヾ,ヾ,ヾ
ゝ,5,5,4977,記号,一般,*,*,*,*,ゝ,ゝ,ゝ
ゞ,5,5,5002,記号,一般,*,*,*,*,ゞ,ゞ,ゞ
〃,5,5,1818,記号,一般,*,*,*,*,〃,〃,〃
仝,5,5,3912,記号,一般,*,*,*,*,仝,仝,仝
々,5,5,2497,記号,一般,*,*,*,*,々,々,々
々々,5,5,7151,記号,一般,*,*,*,*,々々,々々,々々
〆,5,5,1819,記号,一般,*,*,*,*,〆,〆,〆
〇,5,5,1521,記号,一般,*,*,*,*,〇,〇,〇
―,5,5,3970,記号,一般,*,*,*,*,―,―,―
――,5,5,525,記号,一般,*,*,*,*,――,――,――
‐,5,5,1819,記号,一般,*,*,*,*,‐,‐,‐
／,5,5,1812,記号,一般,*,*,*,*,／,／,／
＼,5,5,1819,記号,一般,*,*,*,*,＼,＼,＼
～,5,5,-466,記号,一般,*,*,*,*,～,～,～
～,5,5,4485,記号,一般,*,*,*,*,～,カラ,カラ
∥,5,5,1819,記号,一般,*,*,*,*,∥,∥,∥
｜,5,5,1819,記号,一般,*,*,*,*,｜,｜,｜
…,5,5,-2279,記号,一般,*,*,*,*,…,…,…
‥,5,5,1819,記号,一般,*,*,*,*,‥,‥,‥
